Food,Serving,Calories,Food_VN
Macaroni and Cheese,1 serving (189 g),699 cal,mì ống và phô mai
Mashed Potatoes,1 cup (210 g),174 cal,khoai tây nghiền
Meat Pie,1 pie (120 g),290 cal,bánh nhân thịt
Meatloaf,1 loaf (284 g),721 cal,bánh mì thịt
Naan,1 bread (84 g),260 cal,Naan
Orange Chicken,1 serving (162 g),420 cal,Gà Cam
Pad Thai,1 cup (250 g),375 cal,Pad Thái
Paella,1/2 package (128 g),200 cal,cơm thập cẩm
Paratha,1 paratha (80 g),260 cal,paratha
Pea Soup,1 cup (253 g),190 cal,Súp đậu
Peanut Butter Sandwich,1 sandwich (49 g),200 cal,Sandwich bơ đậu phộng
Peking Duck,1/2 duck (178 g),401 cal,Vịt quay Bắc Kinh
Philly Cheese Steak,1 sandwich (120 g),300 cal,Bít tết phô mai Philly
Pizza,1 slice (102 g),272 cal,pizza
Pork Chop,1 chop (131 g),295 cal,Sườn heo
Potato Salad,1/3 cup (95 g),136 cal,Salad khoai tây
Pulled Pork Sandwich,1 sandwich (261 g),551 cal,Sandwich thịt heo kéo
Ramen,"1 package, dry (85 g)",380 cal,Ramen
Ravioli,5 ravioli (66 g),134 cal,Ravioli
Reuben Sandwich,1 sandwich (308 g),641 cal,Bánh Sandwich Reuben
Roast Beef,1 slice (21 g),23 cal,Thịt bò nướng
Roast Dinner,1 slice (121 g),240 cal,Bữa tối nướng
Samosa,1 samosa (50 g),107 cal,Samosa
Sausage Roll,1 roll (103 g),361 cal,cuộn xúc xích
Sausage Rolls,1 roll (34 g),101 cal,cuộn xúc xích
Shepherds Pie,1 pie (227 g),159 cal,bánh chăn cừu
Shrimp Cocktail,1 oz. (28 g),130 cal,Cocktail tôm
Sloppy Joe,1/2 cup (142 g),101 cal,Joe cẩu thả
Sloppy Joes,1 bun (258 g),397 cal,Joe cẩu thả
Spaghetti Bolognese,1 serving (283 g),374 cal,Mỳ Ý Bolognese
Spring Roll,1 roll (140 g),350 cal,chả giò
Spring Rolls,1 roll (140 g),350 cal,Nem rán
Taco,1 taco (98 g),213 cal,taco
Tandoori Chicken,1 serving (175 g),198 cal,Gà Tandoori
Yorkshire Pudding,1 pudding (15 g),83 cal,Bánh pudding Yorkshire
Amaranth,1 cup (193 g),716 cal,rau dền
Barley,1 cup (157 g),556 cal,lúa mạch
Barley Groats,1 cup (31 g),31 cal,Hạt lúa mạch
Brown Rice,1 cup (195 g),757 cal,Gạo lứt
Buckwheat,1 cup (170 g),583 cal,kiều mạch
Buckwheat Groats,1 cup (164 g),567 cal,Hạt kiều mạch
Corn Waffles,1 waffle (40 g),110 cal,bánh quế ngô
Cornmeal,1 cup (122 g),442 cal,Bột ngô
Cornstarch,1 cup (128 g),488 cal,bột bắp
Couscous,1 cup (173 g),650 cal,couscous
Cracker,1 cracker (7 g),35 cal,bánh quy giòn
Durum Wheat Semolina,1 tbsp (30 g),119 cal,Bột báng lúa mì cứng
Flaxseed,1 cup (168 g),897 cal,Hạt lanh
Freekeh,1 cup (160 g),832 cal,Freekeh
Gluten,1 oz. (28 g),104 cal,gluten
Grissini,1 grissini (5 g),20 cal,Grissini
Kamut,1 cup (186 g),627 cal,Kamut
Millet,1 cup (128 g),484 cal,kê
Millet Flour,1 cup (140 g),521 cal,Bột kê
Millet Gruel,1 cup (174 g),80 cal,Cháo kê
Oat Bran,1 cup (94 g),231 cal,cám yến mạch
Pearl Barley,1 cup (157 g),553 cal,lúa mạch trân châu
Polenta,1 cup (150 g),549 cal,polenta
Prawn Crackers,1 cracker (3 g),16 cal,bánh quy tôm
Pretzel Sticks,20 sticks (12 g),46 cal,Que bánh quy xoắn
Quinoa,1 cup (170 g),626 cal,diêm mạch
Rusk,1 rusk (10 g),41 cal,Rusk
Rye Bran,1 cup (150 g),422 cal,Cám lúa mạch đen
Sago,1 oz. (28 g),99 cal,Cao lương
Savoury Biscuits,40 grams (40 g),139 cal,bánh quy mặn
Shortbread,1 cookie (19 g),95 cal,bánh mì ngắn
Spelt,1 cup (174 g),588 cal,đánh vần
Spelt Bran,1 cup (160 g),283 cal,cám đánh vần
Spelt Semolina,1 cup (167 g),601 cal,Bột báng đánh vần
Sunflower Seeds,1 cup (140 g),818 cal,Hạt hướng dương
Tortilla,1 tortilla (197 g),467 cal,bánh ngô
Tortilla Chips,20 chips (32 g),160 cal,Bánh Tortilla
Wheat Bran,1 cup (58 g),125 cal,Cám lúa mì
Wheat Germ,1 cup (113 g),432 cal,Mầm lúa mì
Wheat Gluten,1 tsp (3 g),10 cal,Gluten lúa mì
Wheat Semolina,1 cup (167 g),601 cal,Bột báng lúa mì
Wheat Starch,1 cup (110 g),386 cal,Tinh bột lúa mì
Whole Grain Wheat,1 cup (120 g),407 cal,Lúa mì nguyên hạt
Wholegrain Oat,1 cup (80 g),300 cal,Yến mạch nguyên hạt
Almond Oil,1 tbsp (14 ml),123 cal,Dầu hạnh nhân
Apricot Kernel Oil,1 tbsp (14 ml),124 cal,Dầu hạt mơ
Argan Oil,1 tbsp (14 ml),125 cal,Dầu Argan
Avocado Oil,1 tbsp (14 ml),120 cal,Dầu bơ
Babassu Oil,1 tbsp (14 ml),124 cal,Dầu Babassu
Canola Oil,1 tbsp (14 ml),124 cal,Dầu hạt cải
Coconut Oil,1 tbsp (14 ml),120 cal,Dầu dừa
Corn Oil,1 tbsp (15 ml),120 cal,Dầu ngô
Cottonseed Oil,1 tbsp (14 ml),123 cal,Dầu hạt bông
Flaxseed Oil,1 tbsp (14 ml),124 cal,Dầu hạt lanh
Grape Seed Oil,1 tbsp (14 ml),124 cal,Dầu hạt nho
Hazelnut Oil,1 tbsp (14 ml),124 cal,Dầu hạt phỉ
Linseed Oil,1 tbsp (14 ml),117 cal,Dầu hạt lanh
Menhaden Oil,1 tbsp (14 ml),128 cal,Dầu Menhaden
Mustard Oil,1 tbsp (14 ml),124 cal,Dầu mù tạt
Oat Oil,1 tbsp (14 ml),124 cal,Dầu yến mạch
Olive Oil,1 tbsp (15 ml),120 cal,Dầu ô liu
Palm Kernel Oil,1 tbsp (14 ml),123 cal,Dầu hạt cọ
Palm Oil,1 tbsp (14 ml),123 cal,Dầu cọ
Peanut Oil,1 tbsp (14 ml),120 cal,Dầu đậu phộng
Poppy Seed Oil,1 tbsp (14 ml),124 cal,Dầu hạt anh túc
Pumpkin Seed Oil,1 tbsp (14 ml),123 cal,Dầu hạt bí ngô
Rice Bran Oil,1 tbsp (14 ml),124 cal,Dầu cám gạo
Safflower Oil,1 tbsp (14 ml),120 cal,Dầu cây rum
Salmon Oil,1 tbsp (14 ml),128 cal,Dầu cá hồi
Sesame Oil,1 tbsp (14 ml),124 cal,Dầu mè
Shea Oil,1 tbsp (14 ml),124 cal,Dầu hạt mỡ
Soy Oil,1 tbsp (14 ml),123 cal,Dầu đậu nành
Sunflower Oil,1 tbsp (14 ml),124 cal,Dầu hướng dương
Tomato Seed Oil,1 tbsp (14 ml),124 cal,Dầu hạt cà chua
Vegetable Oil,1 tbsp (15 ml),120 cal,Dầu thực vật
Walnut Oil,1 tbsp (14 ml),124 cal,Dầu óc chó
Wheat Germ Oil,1 tbsp (14 ml),130 cal,Dầu mầm lúa mì
Alphabet Soup,1 cup (248 g),62 cal,Súp bảng chữ cái
Bean Stew,1 cup (252 g),335 cal,đậu hầm
Beef Bouillon,1 cup (240 g),7 cal,Nước dùng thịt bò
Beef Noodle Soup,1 cup (244 g),83 cal,Bún bò
Beef Soup,1 cup (213 g),70 cal,Súp Bò
Bouillon,1 cup (244 g),39 cal,nước dùng
Broccoli Cheese Soup,1 can (303 g),264 cal,Súp phô mai bông cải xanh
Broccoli Soup,1 cup (237 g),206 cal,Súp bông cải xanh
Cabbage Soup,1 cup (245 g),69 cal,Súp bắp cải
Carrot Ginger Soup,1 serving (381 g),95 cal,Súp cà rốt gừng
Carrot Soup,1 serving (381 g),95 cal,Súp cà rốt
Chicken Bouillon,1 cup (241 g),10 cal,nước luộc gà
Chicken Broth,1 cup (244 g),39 cal,nước luộc gà
Chicken Gumbo Soup,1 cup (244 g),56 cal,Súp gà gumbo
Chicken Noodle Soup,1 cup (248 g),62 cal,Bún gà
Chicken Stock,1 cup (244 g),39 cal,Nước dùng gà
Chicken Vegetable Soup,1 cup (248 g),77 cal,Súp rau gà
Chicken with Rice Soup,1 cup (243 g),58 cal,Súp cơm gà
Cream of Asparagus Soup,1 cup (244 g),85 cal,Súp kem măng tây
Cream of Broccoli Soup,1 serving (310 g),140 cal,Súp kem bông cải xanh
Cream of Celery Soup,1 cup (248 g),92 cal,Súp kem cần tây
Cream of Chicken Soup,1 cup (244 g),117 cal,Súp kem gà
Cream of Mushroom Soup,1 cup (248 g),97 cal,Súp kem nấm
Cream of Onion Soup,1 cup (244 g),107 cal,Súp kem hành tây
Cream of Potato Soup,1 cup (244 g),73 cal,Súp kem khoai tây
Creamy Chicken Noodle Soup,1 cup (245 g),56 cal,Phở gà kem
French Onion Soup,1 cup (243 g),56 cal,Súp hành kiểu Pháp
Golden Mushroom Soup,1 cup (248 g),161 cal,Súp nấm vàng
Goulash,1 serving (187 g),1887 cal,Goulash
Instant Ramen,1 package (85 g),371 cal,Ramen ăn liền
Lentil Soup,1 cup (248 g),139 cal,Súp đậu lăng
Lobster Bisque Soup,1 cup (248 g),248 cal,Súp tôm hùm
Meatball Soup,1 cup (245 g),120 cal,Súp thịt viên
Minestrone,1 cup (241 g),82 cal,Minestrone
Mushroom Soup,1 cup (244 g),85 cal,Súp nấm
Noodle Soup,1 cup (244 g),83 cal,bún nước lèo
Onion Soup,1 cup (243 g),56 cal,Súp hành tây
Oxtail Soup,1 cup (244 g),68 cal,Súp đuôi bò
Pea Soup,1 cup (253 g),190 cal,Súp đậu
Potato Soup,1 serving (240 g),192 cal,Súp khoai tây
Pumpkin Soup,1 cup (245 g),71 cal,Súp bí ngô
Ramen,1 package (85 g),371 cal,Ramen
Scotch Broth,1 cup (241 g),80 cal,nước dùng Scotch
Succotash,1 cup (192 g),221 cal,Succotash
Thai Soup,1 cup (245 g),147 cal,Súp Thái
Tomato Rice Soup,1 cup (247 g),116 cal,Súp cơm cà chua
Tomato Soup,1 cup (248 g),74 cal,Súp cà chua
Vegetable Beef Soup,1 cup (244 g),76 cal,Súp bò rau củ
Vegetable Broth,1 cup (235 g),12 cal,Nước luộc rau
Vegetable Soup,1 cup (241 g),67 cal,Súp rau
Vegetable Stock,1 cup (235 g),12 cal,Nước kho rau củ
Wedding Soup,1 cup (245 g),130 cal,Súp cưới
Baskin-Robbins,1 scoop (71 g),170 cal,Baskin-Robbins
Ben and Jerry’s,1 scoop (92 g),210 cal,Ben và Jerry's
Butter Pecan Ice Cream,1 scoop (113 g),280 cal,Kem Bơ Hồ Đào
Carvel,1 cup (212 g),449 cal,khắc
Chocolate Chip Ice Cream,1 scoop (72 g),155 cal,Kem sô-cô-la chip
Chocolate Ice Cream,1 scoop (72 g),156 cal,Kem sô cô la
Ciao Bella,1 cup (220 g),240 cal,Ciao Bella
Coffee Ice Cream,1 scoop (72 g),170 cal,Kem cà phê
Cold Stone Creamery,1 scoop (142 g),329 cal,Kem đá lạnh
Cookie Dough Ice Cream,1/2 cup (65 g),130 cal,Kem bột bánh quy
Crunchie McFlurry,1 mcflurry (183 g),318 cal,Crunchie McFlurry
Dairy Milk McFlurry,1 mcflurry (183 g),340 cal,Sữa Sữa McFlurry
Dippin Dots,1 cup (170 g),381 cal,chấm chấm
Double Rainbow,1 scoop (72 g),185 cal,Cầu vồng đôi
Drumsticks,1 cone (141 g),360 cal,Dùi Trống
French Vanilla Ice Cream,1 scoop (72 g),145 cal,Kem Vani Pháp
Friendly’s,1 scoop (66 g),140 cal,Thân thiện
Healthy Choice,1 bar (64 g),80 cal,Lựa chọn lành mạnh
Hot Fudge Sundae,1 sundae (179 g),333 cal,Sundae Kẹo Nóng
Ice Cream Sandwich,1 bar (112 g),265 cal,Bánh mì kẹp kem
Ice Cream Sundae,1 sundae (178 g),253 cal,Kem Sundae
Ice Milk,1 scoop (103 g),164 cal,Sữa đá
Magnolia,1 scoop (72 g),166 cal,hoa mộc lan
Magnum,1 magnum (86 g),258 cal,Magnum
Magnum Almond,1 magnum (86 g),271 cal,hạnh nhân lớn
Magnum Double Caramel,1 magnum (86 g),305 cal,Caramel đôi Magnum
Magnum Double Chocolate,1 magnum (86 g),327 cal,Sôcôla đôi Magnum
Magnum Gold,1 magnum (85 g),290 cal,Vàng lớn
Magnum White,1 magnum (86 g),255 cal,Magnum trắng
McFlurry,1 mcflurry (134 g),205 cal,McFlurry
McFlurry Oreo,1 mcflurry (183 g),340 cal,McFlurry Oreo
Mini Milk,1 mini milk (25 g),30 cal,Sữa nhỏ
Mint Chocolate Chip Ice Cream,1 scoop (72 g),172 cal,Kem sô cô la bạc hà
Rocky Road Ice Cream,1 scoop (113 g),290 cal,Kem Đường Rocky
Schwan’s,1 scoop (72 g),177 cal,của Schwan
Smarties McFlurry,1 mcflurry (202 g),400 cal,Smarties McFlurry
Snickers Ice Cream,1 bar (50 g),180 cal,Kem Snickers
Soft Serve,1 cup (86 g),191 cal,Phục Vụ Mềm
Solero,1 solero (75 g),75 cal,Solero
Strawberry Ice Cream,1 scoop (72 g),170 cal,Kem Dâu
Strawberry Sundae,1 sundae (178 g),281 cal,Sundae dâu
Sundae,1 scoop (72 g),155 cal,Sundae
Turkey Hill,1 sandwich (70 g),190 cal,Đồi Thổ Nhĩ Kỳ
Vanilla Cone,1 cone (142 g),230 cal,nón vani
Vanilla Ice Cream,1 scoop (72 g),145 cal,Kem Vani
Cannelloni,2 oz. (56 g),82 cal,cannelloni
Capellini,2 oz. (56 g),198 cal,Capellini
Cappelletti,2 oz. (56 g),92 cal,cà phê cappelletti
Cellophane Noodles,1 cup (140 g),491 cal,mì giấy bóng kính
Cheese Tortellini,1 cup (113 g),329 cal,Tortellini phô mai
Dampfnudel,1 dampfnudel (85 g),233 cal,Dampfnudel
Dumpling Dough,2 oz. (56 g),55 cal,Bột bánh bao
Durum Wheat Semolina,2 oz. (56 g),222 cal,Bột báng lúa mì cứng
Egg Noodles,1 cup (38 g),146 cal,mì trứng
Farfalle,2 oz. (56 g),200 cal,xa vời
Fettuccine,2 oz. (56 g),198 cal,Fettuccine
Fusilli,2 oz. (56 g),197 cal,Fusilli
Glass Noodles,2 oz. (56 g),108 cal,miến
Lasagne Sheets,1 sheet (21 g),57 cal,Tấm Lasagne
Linguine,2 oz. (56 g),200 cal,mì ống
Low Carb Pasta,2 oz. (56 g),158 cal,Mì ống ít carb
Macaroni,1 cup (114 g),422 cal,mì ống
Manicotti,2 oz. (56 g),200 cal,manicotti
Mostaccioli,2 oz. (56 g),103 cal,Mostaccioli
Orecchiette,2 oz. (56 g),207 cal,bánh orecchiette
Orzo,2 oz. (56 g),200 cal,Orzo
Penne,2 oz. (56 g),197 cal,Penne
Penne Rigate,2 oz. (56 g),207 cal,Penne Rigate
Pierogi,3 pierogi (100 g),200 cal,Pierogi
Ravioli,2 oz. (56 g),43 cal,Ravioli
Rigatoni,2 oz. (56 g),198 cal,Rigatoni
Rotini,2 oz. (56 g),198 cal,bánh xoay
Shells,1 cup (85 g),300 cal,Vỏ
Shirataki Noodles,2 oz. (56 g),10 cal,mì Shirataki
Soy Noodles,2 oz. (56 g),121 cal,mì đậu nành
Spaetzle,2 oz. (56 g),206 cal,Spaetzle
Spaghetti,2 oz. (56 g),207 cal,mì spaghetti
Spinach Tortellini,1 cup (102 g),320 cal,Tortellini rau chân vịt
Spirelli,2 oz. (56 g),206 cal,Tảo xoắn
Tagliatelle,2 oz. (56 g),207 cal,Tagliatelle
Tortellini,1 cup (113 g),329 cal,Tortellini
Vermicelli,2 oz. (56 g),206 cal,Bún
Whole Grain Noodles,2 oz. (56 g),194 cal,mì ngũ cốc nguyên hạt
Whole Grain Spaghetti,2 oz. (56 g),197 cal,Spaghetti nguyên hạt
Ziti,2 oz. (56 g),197 cal,Ziti
BBQ Chicken Pizza,1 slice (132 g),309 cal,Pizza gà nướng
BBQ Pizza,1 slice (140 g),314 cal,Pizza nướng
Beef Pizza,1 slice (235 g),714 cal,Pizza bò
Bianca Pizza,1 slice (187 g),460 cal,Pizza Bianca
Buffalo Chicken Pizza,1 slice (238 g),600 cal,Pizza gà trâu
Calabrese Pizza,1 slice (108 g),254 cal,Pizza Calabrese
Calzone,1 calzone (364 g),841 cal,Calzone
Capricciosa Pizza,1 slice (74 g),192 cal,Pizza Capricciosa
Cheese Pizza,1 slice (63 g),168 cal,Pizza phô mai
Chicken Pizza,1 slice (132 g),309 cal,Pizza gà
Deep Dish Pizza,1 slice (118 g),313 cal,Pizza đĩa sâu
Dominos Philly Cheese Steak Pizza,1 slice (159 g),356 cal,Pizza bít tết phô mai Dominos Philly
Four Cheese Pizza,1 slice (113 g),250 cal,Pizza Bốn Phô Mai
Goat Cheese Pizza,1 slice (63 g),138 cal,Pizza phô mai dê
Grilled Pizza,1 slice (124 g),280 cal,Pizza nướng
Hawaiian Pizza,1 slice (134 g),154 cal,Pizza Hawaii
Margherita Pizza,1 slice (63 g),173 cal,Pizza Margherita
Mozzarella Pizza,1 slice (62 g),154 cal,Pizza phô mai Mozzarella
Mushroom Pizza,1 slice (288 g),611 cal,Pizza nấm
Napoli Pizza,1 slice (123 g),248 cal,Pizza Napoli
New York Style Pizza,1 slice (103 g),174 cal,Pizza kiểu New York
Pepperoni Pizza,1 slice (71 g),181 cal,Pizza Pepperoni
Pizza Dough,2 oz. (57 g),130 cal,Bột bánh pizza
Pizza Hut Stuffed Crust Pizza,1 slice (149 g),380 cal,Pizza Hut vỏ bánh Pizza
Pizza Hut Supreme Pizza,1 slice (123 g),305 cal,Pizza Hut Pizza Tối Cao
Pizza Rolls,1 roll (14 g),35 cal,bánh pizza cuộn
Quattro Formaggi Pizza,1 slice (133 g),330 cal,Pizza Quattro Formaggi
Red Pepper Pizza,1 slice (86 g),165 cal,Pizza ớt đỏ
Salami Pizza,1 slice (71 g),181 cal,Pizza xúc xích
Sausage Pizza,1 slice (72 g),177 cal,Pizza xúc xích
Seafood Pizza,1 slice (76 g),186 cal,Pizza hải sản
Shrimp Pizza,1 slice (91 g),190 cal,Pizza tôm
Sicilian Pizza,1 slice (133 g),321 cal,Pizza Sicilia
Spinach Feta Pizza,1 slice (62 g),150 cal,Pizza Feta rau chân vịt
Spinach Pizza,1 slice (62 g),145 cal,Pizza rau chân vịt
Stuffed Crust Pizza,1 slice (149 g),380 cal,Pizza vỏ nhồi
Tarte Flambée,1 square (56 g),142 cal,Tarte Flambée
Thin Crust Pizza,1 slice (60 g),157 cal,Pizza vỏ mỏng
Tuna Pizza,1 slice (125 g),318 cal,Pizza cá ngừ
Vegetable Pizza,1 slice (156 g),399 cal,Pizza rau củ
Vegetarian Pizza,1 slice (156 g),399 cal,Pizza chay
